"forecast_summary","today_comment","tomorrow_comment","extended_comment","forecast_summary_es","today_comment_es","tomorrow_comment_es","extended_comment_es"
"GOOD conditions this morning thanks to more northerly winds and terrain features channeling smoke towards LA.  High potential for smoke to return this evening as increasing winds limit the rise of smoke out of the area. ","Expect short periods of USG tonight ","","Additional high wind events will increase smoke impacts in the area. ","Condiciones BUENAS esta mañana gracias a los vientos del norte y las características del terreno que canalizan el humo hacia LA. Alto potencial para que el humo regrese esta noche a medida que los vientos crecientes limitan la dispersión del humo fuera del área.","Espere cortos períodos de IGS esta noche.","","Eventos adicionales de vientos fuertes aumentarán los impactos del humo en el área."
"Proximity to active edges and smoldering debris will limit the improvement of conditions for the next few days. ","Increasing winds tonight will lay smoke blanket back over the area.  ","Continued smoldering will linger in the area. ","","La proximidad a bordes activos y escombros humeantes limitará la mejora de las condiciones en los próximos días.","Los vientos crecientes esta noche volverán a cubrir el área con una capa de humo.","El rescoldo continuará persistiendo en el área.",""
"North winds will help channel the smoke towards the coast for most of the day.  Increasing potential for a return of smoke impacts to the area tonight as North winds battle with onshore SW winds. ","","","","Los vientos del norte ayudarán a canalizar el humo hacia la costa durante la mayor parte del día. Aumenta el potencial de un retorno de los impactos del humo en el área esta noche mientras los vientos del norte luchan con los vientos del suroeste en tierra.","","",""
"North winds will continue to provide relief into tomorrow.  As increasing winds arrive potential for visible smoke to settle as the surface. ","","","","Los vientos del norte continuarán proporcionando alivio hasta mañana. A medida que lleguen vientos más fuertes, existe la posibilidad de que el humo visible se asiente en la superficie.","","",""
"North winds will continue to provide relief in Topanga all day.  Smoldering in Topanga Canyon will continue to create MODERATE surface impacts with multiple pollutants.  Increasing winds this evening will continue to move smoke offshore and away from the community. ","","","","Los vientos del norte continuarán proporcionando alivio en Topanga todo el día. La persistencia de brasas en el Cañón de Topanga seguirá creando impactos superficiales MODERADOS con múltiples contaminantes. El aumento de los vientos esta tarde continuará moviendo el humo hacia el mar y alejándolo de la comunidad.","","",""
"GOOD surface impacts this morning will shift to MODERATE this afternoon as North winds push smoke from the active edges offshore.  SW winds are expected to move in this afternoon in addition to the North winds, causing a swirling of smoke dispersion in this area.  Periods of MODERATE to USG can be expected, with increasing potential for USG this evening. ","","","","Los impactos en la superficie BUENO esta mañana cambiarán a MODERADA esta tarde a medida que los vientos del Norte empujen el humo de los bordes activos hacia mar adentro. Se espera que los vientos del SO se muevan esta tarde además de los vientos del Norte, causando un remolino de dispersión de humo en esta área. Se pueden esperar períodos de MODERADA a IGS, con un aumento potencial para IGS esta noche.","","",""
"North winds will continue to provide GOOD surface conditions all day. ","","","","Los vientos del norte continuarán proporcionando condiciones superficiales BUENAS todo el día.","","",""
"Northly winds will push smoke towards the greater Brentwood community from the remaining active edges Mandeville Canyon. ","","","","Los vientos del norte empujarán el humo hacia la comunidad de Brentwood desde los bordes activos restantes de Mandeville Canyon.","","",""
"GOOD conditions this morning thanks to more northerly winds and terrain features channeling smoke towards LA.  High potential for smoke to return this evening as increasing winds limit the rise of smoke out of the area. ","Expect short periods of USG tonight ","","Additional high wind events will increase smoke impacts in the area. ","BUENAS condiciones esta mañana gracias a los vientos del norte y las características del terreno que canalizan el humo hacia LA. Alto potencial para que el humo regrese esta noche ya que el aumento en los vientos limitan la dispersión del humo fuera del área.","Se esperan cortos períodos de IGS esta noche.","","Los eventos adicionales de vientos fuertes aumentarán los impactos del humo en el área."
"Northly winds will push smoke towards the greater Brentwood community from the remaining active edges Mandeville Canyon. ","","","","Los vientos del norte empujarán el humo hacia la comunidad de Brentwood desde los bordes activos restantes de Mandeville Canyon.","","",""
"NE winds will push interior smoke sources to the west, bringing MOD to USG conditions this evening. ","Potential for USG overnight","","","Los vientos del NE empujarán las fuentes de humo del interior hacia el oeste, trayendo condiciones MODERADAS a IGS esta tarde.","Potencial para IGS durante la noche","",""
"Northly winds will push smoke towards the greater Brentwood community from the remaining active edges Mandeville Canyon. ","Increasing east winds will provide periods of GOOD","","","Los vientos del norte empujarán el humo hacia la comunidad de Brentwood desde los bordes activos restantes del Cañón Mandeville.","Los vientos del este en aumento proporcionarán períodos de BUENO.","",""
"NE winds will help channel the smoke towards the coast for most of the day. Potential for additional smoke from Eaton fire. ","","","","Los vientos del NE ayudarán a canalizar el humo hacia la costa durante la mayor parte del día. Potencial para humo adicional del incendio de Eaton.","","",""
"E-NE winds will shift haze and MOD surface impacts back over this area and settle into Topanga Canyon. ","","","","Los vientos de E-NE moverán la neblina y los impactos en superficie MODERADA de vuelta sobre esta área y se asentarán en el Cañón de Topanga.","","",""
"Light haze this AM with limited smoke impacts.  Short periods of MOD can be expected, but will not settle into the area.","","","","Bruma ligera esta mañana con impactos limitados de humo. Se pueden esperar cortos períodos de calidad del aire MODERADA, pero no se asentará en la área.","","",""
"Hazy skies with MODERATE impacts most of the day.  High potential for the return of smoke tonight as increasing wind limits the lifting of the smoke column. ","Locations between Glendale and LA will see brief periods of USG tonight","","","Cielos brumosos con impactos MODERADOS durante la mayor parte del día. Alta posibilidad de retorno de humo esta noche ya que el aumento del viento limita el ascenso de la columna de humo.","Las ubicaciones entre Glendale y LA experimentarán breves períodos de IGS esta noche.","",""
"Proximity to active edges and smoldering debris will limit the improvement of conditions for the next few days. ","Increasing winds tonight will lay smoke blanket back over the area.  ","Continued smoldering will linger in the area. ","","La proximidad a bordes activos y escombros en combustión lenta limitarán la mejora de las condiciones en los próximos días.","Los vientos crecientes esta noche volverán a cubrir el área con una capa de humo.","La combustión lenta continuará persistiendo en el área.",""
"MODERATE smoke impacts, light haze, and brief periods of USG (unhealthy for sensitive groups).  Increasing winds will lay the smoke back over the foothills tonight. ","Locations in direct proximity to the fire can expect USG most of the day. ","Similar pattern as Sunday. ","Return of high winds will disperse cold ashfall and fire debris.","Impactos de humo MODERADO, bruma ligera y breves períodos de IGS (insalubre para grupos sensibles). Los vientos crecientes llevarán el humo de nuevo hacia las estribaciones esta noche.","Las ubicaciones en proximidad directa al incendio pueden esperar IGS durante la mayor parte del día.","Patrón similar al domingo.","El regreso de fuertes vientos dispersará la caída de ceniza fría y los escombros del incendio."
"Hazy skies this morning with short periods of USG around the Devils Gate Reservoir.  Tonight, increasing NE winds will push smoke out of the area.  Locations between San Raphael Hill and Pasadena will see MODERATE conditions all day due to terrain features. ","Locations closer to the reservoir will see MODERATE to USG conditions all day. ","","","Cielos brumosos en la mañana con períodos cortos de IGS alrededor del embalse Devils Gate. Esta noche, el aumento de los vientos NE empujará el humo fuera del área. Las ubicaciones entre la colina San Raphael y Pasadena verán condiciones MODERADAS todo el día debido a las características del terreno.","Las ubicaciones más cercanas al embalse experimentarán condiciones de MODERADA a IGS durante todo el día.","",""
